X,Y,OBJECTID,ZoneDesc,CENTROID_X,CENTROID_Y,ZoneName,MeterName
130.839887796761644,-12.45835036291721,131,Zone B ($1.80/hr up to 3 hrs),699975.136177,8622069.19734,ZONE B,SHE207
130.839910929582828,-12.458437316187684,132,Zone B ($1.80/hr up to 3 hrs),699977.58457,8622059.55986,ZONE B,SHE209
130.840135384672521,-12.458104367079503,133,Zone B ($1.80/hr up to 3 hrs),700002.24333,8622096.22624,ZONE B,SHE208
130.839583332634845,-12.45865664078398,134,Zone B ($1.80/hr up to 3 hrs),699941.799237,8622035.54199,ZONE B,SHE206
130.839217346087622,-12.458566406882797,135,Zone B ($1.80/hr up to 3 hrs),699902.077303,8622045.8006,ZONE B,CAV172
130.839169267148691,-12.45804307394487,136,Zone C ($1.30/hr or $7.50/day),699897.2511,8622103.73514,ZONE C,MCL223
130.839197706360437,-12.458181640887894,137,Zone C ($1.30/hr or $7.50/day),699900.23692,8622088.38346,ZONE C,MCL216
130.839662931373823,-12.457723662956017,138,Zone C ($1.30/hr or $7.50/day),699951.16862,8622138.70087,ZONE C,MCL218
130.839547721945138,-12.457667264143582,139,Zone C ($1.30/hr or $7.50/day),699938.68588,8622145.02733,ZONE C,MCL224
130.838644603909984,-12.458013783464715,140,Zone C ($1.30/hr or $7.50/day),699840.23061,8622107.37067,ZONE C,CAV171
130.837995523192291,-12.45738512427376,141,Zone C ($1.30/hr or $7.50/day),699770.14214,8622177.41024,ZONE C,CAV169
130.837638562749817,-12.457040107467209,142,Zone C ($1.30/hr or $7.50/day),699731.596397,8622215.84931,ZONE C,CAV168
130.837646588441231,-12.457330410262674,143,Zone C ($1.30/hr or $7.50/day),699732.24671,8622183.72602,ZONE C,CAV167
130.83799850887624,-12.45767827959423,144,Zone C ($1.30/hr or $7.50/day),699770.24219,8622144.9751,ZONE C,CAV166
130.838371252469841,-12.458041621233415,145,Zone C ($1.30/hr or $7.50/day),699810.489743,8622104.49671,ZONE C,CAV165
130.838872519729563,-12.458524946592242,146,Zone B ($1.80/hr up to 3 hrs),699864.618612,8622050.64723,ZONE B,CAV164
130.839472686109673,-12.459106067290065,147,Zone B ($1.80/hr up to 3 hrs),699929.424937,8621985.90358,ZONE B,CAV163
130.840045754009935,-12.459659409242995,148,Zone B ($1.80/hr up to 3 hrs),699991.306,8621924.25354,ZONE B,CAV162
130.839930000580182,-12.465171505635043,149,Zone B ($1.80/hr up to 3 hrs),699974.49345,8621314.51638,ZONE B,ESP121
130.840409574567133,-12.465634681357987,150,Zone B ($1.80/hr up to 3 hrs),700026.277357,8621262.91188,ZONE B,ESP123
130.84067650295961,-12.465948210063194,151,Zone B ($1.80/hr up to 3 hrs),700055.057227,8621228.02366,ZONE B,ESP124
130.840676171995369,-12.465743925922348,152,Zone B ($1.80/hr up to 3 hrs),700055.17804,8621250.6247,ZONE B,ESP125
130.840180169058527,-12.465412670472674,153,Zone B ($1.80/hr up to 3 hrs),700001.506841,8621287.64685,ZONE B,ESP122
130.840296452359695,-12.465370985441229,154,Zone B ($1.80/hr up to 3 hrs),700014.18111,8621292.17094,ZONE B,ESP126
130.839994823839504,-12.46507959011694,155,Zone B ($1.80/hr up to 3 hrs),699981.61163,8621324.6365,ZONE B,ESP127
130.839498832492097,-12.464597904352397,156,Zone B ($1.80/hr up to 3 hrs),699928.05676,8621378.3011,ZONE B,ESP128
130.839092900551748,-12.464202819767351,157,Zone B ($1.80/hr up to 3 hrs),699884.22672,8621422.31673,ZONE B,ESP129
130.838542298436209,-12.463641444922281,158,Zone B ($1.80/hr up to 3 hrs),699824.79534,8621484.83851,ZONE B,ESP131
130.838279155021127,-12.46339937034754,159,Zone B ($1.80/hr up to 3 hrs),699796.37171,8621511.8183,ZONE B,ESP132
130.837180619185403,-12.462334331425048,160,Zone B ($1.80/hr up to 3 hrs),699677.753794,8621630.47447,ZONE B,ESP134
130.836880426201759,-12.462046737155159,161,Zone B ($1.80/hr up to 3 hrs),699645.3367,8621662.51805,ZONE B,ESP135
130.836541761084277,-12.461724770825926,162,Zone B ($1.80/hr up to 3 hrs),699608.76313,8621698.39314,ZONE B,ESP136
