X,Y,OBJECTID,Asset_ID,Asset_Grou,Community,Address,Location,Short_ID,Asset_Clas,Asset_Cl00
130.889102989317053,-12.371623959680791,150,PlayEquip 162,Playground Equipment,Wanguri,"39 Haritos St, Wanguri",Haritos Park,Haritos Park,57,Playgrounds
130.88702002492812,-12.375519012902256,151,PlayEquip 163,Playground Equipment,Wanguri,"6 Fong St, Wanguri",Fong Park,Fong Park,57,Playgrounds
130.884569008209866,-12.374460993897683,152,PlayEquip 164,Playground Equipment,Casuarina,"17 Gsell St, Casuarina",Casuarina Pool,Casuarina Pool Complex,57,Playgrounds
130.902928404088613,-12.380649159382866,153,PlayEquip 165,Playground Equipment,Leanyer,"172 Leanyer Dr, Leanyer",Killupa Park,Killupa Park,57,Playgrounds
130.89542598168353,-12.366532013272675,154,PlayEquip 169,Playground Equipment,Leanyer,"3  Armstrong St, Leanyer",Armstrong Park,Armstrong Park,57,Playgrounds
130.891032978258181,-12.36395501700208,155,PlayEquip 170,Playground Equipment,Lyons,"2 Dangoerra St, Lyons",Dangoerra Park,Dangoerra Park,57,Playgrounds
130.88993597178893,-12.360886959510669,156,PlayEquip 171,Playground Equipment,Lyons,"58 Matla Terrace, Lyons",Matla Park,Matla Park,57,Playgrounds
130.888214971762068,-12.359273994585045,157,PlayEquip 172,Playground Equipment,Lyons,"25 Damabila, Lyons",Garanmanuk Park,Garanmanuk Park East,57,Playgrounds
130.888041016639022,-12.358761006251358,158,PlayEquip 173,Playground Equipment,Lyons,"25 Damabila, Lyons",Garanmanuk Park,Garanmanuk Park East,57,Playgrounds
130.888108028657513,-12.358548989725312,159,PlayEquip 174,Playground Equipment,Lyons,"25 Damabila, Lyons",Garanmanuk Park,Garanmanuk Park East,57,Playgrounds
130.887252141790213,-12.352178899396451,160,PlayEquip 175,Playground Equipment,Lyons,"10 Bilingga St, Lyons",Bilingga Park,Bilingga Park,57,Playgrounds
130.872492969324043,-12.366097020527265,161,PlayEquip 176,Playground Equipment,Brinkin,"8 Airlie Crct, Brinkin",Airlie Park,Airlie Park,57,Playgrounds
130.8725930138487,-12.365965026251185,162,PlayEquip 177,Playground Equipment,Brinkin,"8 Airlie Crct, Brinkin",Airlie Park,Airlie Park,57,Playgrounds
130.888096890176286,-12.392107271880311,163,PlayEquip 178,Playground Equipment,Anula,"36 Yanyula Dr, Anula",Driffield Greenbelt,Driffield Greenbelt,57,Playgrounds
130.888030359462761,-12.392133941171968,164,PlayEquip 179,Playground Equipment,Anula,"36 Yanyula Dr, Anula",Driffield Greenbelt,Driffield Greenbelt,57,Playgrounds
