"Type","Longitude","Latitude"
"Zone C ($1.30/hr or $7.50/day)","130.83919770636","-12.4581816408879"
"Zone C ($1.30/hr or $7.50/day)","130.839662931374","-12.457723662956"
"Zone C ($1.30/hr or $7.50/day)","130.839547721945","-12.4576672641436"
"Zone C ($1.30/hr or $7.50/day)","130.83864460391","-12.4580137834647"
"Zone C ($1.30/hr or $7.50/day)","130.837995523192","-12.4573851242738"
"Zone C ($1.30/hr or $7.50/day)","130.83763856275","-12.4570401074672"
"Zone C ($1.30/hr or $7.50/day)","130.837646588441","-12.4573304102627"
"Zone C ($1.30/hr or $7.50/day)","130.837998508876","-12.4576782795942"
"Zone C ($1.30/hr or $7.50/day)","130.83837125247","-12.4580416212334"
"Zone B ($1.80/hr up to 3 hrs)","130.83887251973","-12.4585249465922"
"Zone B ($1.80/hr up to 3 hrs)","130.83947268611","-12.4591060672901"
"Zone B ($1.80/hr up to 3 hrs)","130.84004575401","-12.459659409243"
"Zone B ($1.80/hr up to 3 hrs)","130.83993000058","-12.465171505635"
"Zone B ($1.80/hr up to 3 hrs)","130.840409574567","-12.465634681358"
"Zone B ($1.80/hr up to 3 hrs)","130.84067650296","-12.4659482100632"
"Zone B ($1.80/hr up to 3 hrs)","130.840676171995","-12.4657439259223"
"Zone B ($1.80/hr up to 3 hrs)","130.840180169059","-12.4654126704727"
"Zone B ($1.80/hr up to 3 hrs)","130.84029645236","-12.4653709854412"
"Zone B ($1.80/hr up to 3 hrs)","130.83999482384","-12.4650795901169"
"Zone B ($1.80/hr up to 3 hrs)","130.839498832492","-12.4645979043524"
"Zone B ($1.80/hr up to 3 hrs)","130.839092900552","-12.4642028197674"
"Zone B ($1.80/hr up to 3 hrs)","130.838542298436","-12.4636414449223"
"Zone B ($1.80/hr up to 3 hrs)","130.838279155021","-12.4633993703475"
"Zone B ($1.80/hr up to 3 hrs)","130.837180619185","-12.462334331425"
"Zone B ($1.80/hr up to 3 hrs)","130.836880426202","-12.4620467371552"
"Zone B ($1.80/hr up to 3 hrs)","130.836541761084","-12.4617247708259"
"Zone B ($1.80/hr up to 3 hrs)","130.836130934375","-12.4613228352333"
"Zone B ($1.80/hr up to 3 hrs)","130.835467950932","-12.4606590459228"
"Zone C ($1.30/hr or $7.50/day)","130.835225969076","-12.4606199917756"
"Zone B ($1.80/hr up to 3 hrs)","130.835071679696","-12.4602742825842"
"Zone C ($1.30/hr or $7.50/day)","130.834932088818","-12.4603325073335"
"Zone B ($1.80/hr up to 3 hrs)","130.834665128393","-12.4599022101709"
"Zone B ($1.80/hr up to 3 hrs)","130.839500748596","-12.4568631912123"
"Zone B ($1.80/hr up to 3 hrs)","130.840209571421","-12.4576017621088"
"Zone C ($1.30/hr or $7.50/day)","130.840089120626","-12.4571648356113"
"Zone B ($1.80/hr up to 3 hrs)","130.840771041741","-12.4581483764718"
"Zone B ($1.80/hr up to 3 hrs)","130.841261544331","-12.457929580111"
"Zone B ($1.80/hr up to 3 hrs)","130.841555456493","-12.4576394328138"
"Zone B ($1.80/hr up to 3 hrs)","130.843273720789","-12.459470290308"
"Zone B ($1.80/hr up to 3 hrs)","130.842576611957","-12.4600938406807"
"Zone B ($1.80/hr up to 3 hrs)","130.840616504969","-12.4581275102009"
"Zone B ($1.80/hr up to 3 hrs)","130.842940533262","-12.4598060614724"
"Zone B ($1.80/hr up to 3 hrs)","130.842937389689","-12.4602547524805"
"Zone B ($1.80/hr up to 3 hrs)","130.843471050001","-12.4601935319973"
"Zone B ($1.80/hr up to 3 hrs)","130.843922175821","-12.4597421812899"
"Zone B ($1.80/hr up to 3 hrs)","130.843239956538","-12.4606649952773"
"Zone B ($1.80/hr up to 3 hrs)","130.843379896444","-12.4606832984015"
"Zone B ($1.80/hr up to 3 hrs)","130.844349368162","-12.4603726829134"
"Zone B ($1.80/hr up to 3 hrs)","130.844146503046","-12.4604202255447"
"Zone B ($1.80/hr up to 3 hrs)","130.844053427765","-12.4606641169982"
"Zone B ($1.80/hr up to 3 hrs)","130.843917911978","-12.4606484143213"
"Zone B ($1.80/hr up to 3 hrs)","130.843788471674","-12.4612847027167"
"Zone B ($1.80/hr up to 3 hrs)","130.842924296557","-12.4604303665385"
"Zone B ($1.80/hr up to 3 hrs)","130.836042229513","-12.4593787531306"
"Zone B ($1.80/hr up to 3 hrs)","130.836535420683","-12.459857684476"
"Zone B ($1.80/hr up to 3 hrs)","130.836802824732","-12.4601003028812"
"Zone B ($1.80/hr up to 3 hrs)","130.837195096567","-12.460017077488"
"Zone B ($1.80/hr up to 3 hrs)","130.837568582811","-12.4596379899038"
"Zone B ($1.80/hr up to 3 hrs)","130.837833563606","-12.4595864203473"
"Zone B ($1.80/hr up to 3 hrs)","130.837531523674","-12.4599651650578"
"Zone B ($1.80/hr up to 3 hrs)","130.837226487508","-12.4602705589367"
"Zone B ($1.80/hr up to 3 hrs)","130.835849729254","-12.4593724018802"
"Zone B ($1.80/hr up to 3 hrs)","130.836131664264","-12.4596207153542"
"Zone B ($1.80/hr up to 3 hrs)","130.837481719872","-12.4609335852046"
"Zone B ($1.80/hr up to 3 hrs)","130.838808876417","-12.4639012019509"
"Zone B ($1.80/hr up to 3 hrs)","130.837335617352","-12.4606328291422"
"Zone B ($1.80/hr up to 3 hrs)","130.846295390222","-12.4651084450385"
"Zone B ($1.80/hr up to 3 hrs)","130.846420164999","-12.4651090516312"
"Zone B ($1.80/hr up to 3 hrs)","130.846309072837","-12.4646682850643"
"Zone B ($1.80/hr up to 3 hrs)","130.846244232047","-12.4648099839847"
"Zone B ($1.80/hr up to 3 hrs)","130.846117202106","-12.4644414314314"
"Zone A ($2.50/hr up to 2 hrs)","130.844874904628","-12.4662335681869"
"Zone C ($1.30/hr or $7.50/day)","130.845873898947","-12.4657993002385"
"Zone C ($1.30/hr or $7.50/day)","130.846009018596","-12.4657785435641"
"Zone C ($1.30/hr or $7.50/day)","130.84553529993","-12.4661159706344"
"Zone B ($1.80/hr up to 3 hrs)","130.846242013417","-12.4653302695299"
"Zone B ($1.80/hr up to 3 hrs)","130.846290635833","-12.4654734839929"
"Zone C ($1.30/hr or $7.50/day)","130.834694906535","-12.4601044510995"
"Zone B ($1.80/hr up to 3 hrs)","130.835467322831","-12.4608544890722"
"Zone B ($1.80/hr up to 3 hrs)","130.835717567543","-12.4610981235973"
"Zone C ($1.30/hr or $7.50/day)","130.836253320818","-12.4616184221922"
"Zone C ($1.30/hr or $7.50/day)","130.836529996209","-12.4618872896729"
"Zone C ($1.30/hr or $7.50/day)","130.836806596432","-12.4621561121059"
"Zone C ($1.30/hr or $7.50/day)","130.837080638161","-12.4624224216059"
"Zone C ($1.30/hr or $7.50/day)","130.837357963214","-12.4626918711008"
"Zone C ($1.30/hr or $7.50/day)","130.837640191911","-12.4629680641834"
"Zone C ($1.30/hr or $7.50/day)","130.837977866264","-12.4632851445397"
"Zone C ($1.30/hr or $7.50/day)","130.838211932196","-12.4635421190498"
"Zone C ($1.30/hr or $7.50/day)","130.838480795881","-12.463783670253"
"Zone C ($1.30/hr or $7.50/day)","130.83872377487","-12.464016937922"
"Zone C ($1.30/hr or $7.50/day)","130.838962111584","-12.464246348419"
"Zone C ($1.30/hr or $7.50/day)","130.839198790858","-12.4644685298325"
"Zone C ($1.30/hr or $7.50/day)","130.839435107811","-12.4647082686603"
"Zone C ($1.30/hr or $7.50/day)","130.839692051001","-12.464942322279"
"Zone C ($1.30/hr or $7.50/day)","130.83863444434","-12.4560757788607"
"Zone C ($1.30/hr or $7.50/day)","130.838988447696","-12.4564209717733"
"Zone C ($1.30/hr or $7.50/day)","130.839634638838","-12.4570455979899"
"Zone C ($1.30/hr or $7.50/day)","130.840333841051","-12.4569215329615"
"Zone C ($1.30/hr or $7.50/day)","130.840584441489","-12.4566672061095"
"Zone C ($1.30/hr or $7.50/day)","130.840756493351","-12.4574502895896"
"Zone C ($1.30/hr or $7.50/day)","130.840982070261","-12.4572131186055"
"Zone C ($1.30/hr or $7.50/day)","130.841323971633","-12.4586817026241"
"Zone C ($1.30/hr or $7.50/day)","130.84166320107","-12.4590125178533"
"Zone C ($1.30/hr or $7.50/day)","130.841742754448","-12.459215849718"
"Zone C ($1.30/hr or $7.50/day)","130.84200270623","-12.4593435719901"
"Zone C ($1.30/hr or $7.50/day)","130.842343107508","-12.45967375897"
"Zone C ($1.30/hr or $7.50/day)","130.842191152479","-12.4596510611388"
"Zone C ($1.30/hr or $7.50/day)","130.841368487753","-12.4589024915115"
"Zone C ($1.30/hr or $7.50/day)","130.841089205013","-12.4586285364026"
"Zone C ($1.30/hr or $7.50/day)","130.839470094887","-12.4570162673429"
"Zone C ($1.30/hr or $7.50/day)","130.839071084501","-12.456628446242"
"Zone C ($1.30/hr or $7.50/day)","130.838655162215","-12.4562256735299"
"Off Street Carpark","130.838345641967","-12.4562649915101"
"Zone B ($1.80/hr up to 3 hrs)","130.843918458956","-12.4612060635295"
"Zone C ($1.30/hr or $7.50/day)","130.844625173859","-12.4609787253021"
"Zone C ($1.30/hr or $7.50/day)","130.844860496826","-12.4607383843255"
"Zone C ($1.30/hr or $7.50/day)","130.844319989315","-12.4612843188691"
"Zone C ($1.30/hr or $7.50/day)","130.844490194545","-12.461680050598"
"Zone C ($1.30/hr or $7.50/day)","130.845003464626","-12.4621889059356"
"Zone C ($1.30/hr or $7.50/day)","130.845268956837","-12.4624497462062"
